task_type,scale_type,idx,model_type,best_test_metric
binary_classification,small,3,TabPerceiver,0.9229688286781311
binary_classification,small,4,TabPerceiver,0.8617614269256592
binary_classification,small,5,TabPerceiver,0.9511499881744385
binary_classification,small,6,TabPerceiver,0.8207190155982971
binary_classification,small,7,TabPerceiver,0.7674187660217285
binary_classification,small,8,TabPerceiver,0.918360710144043
binary_classification,small,9,TabPerceiver,0.6260922074317932
binary_classification,small,10,TabPerceiver,0.7894573092460633
binary_classification,small,11,TabPerceiver,0.9389310836791992
binary_classification,small,12,TabPerceiver,0.9986259460449218
binary_classification,small,13,TabPerceiver,0.9126091599464417
binary_classification,medium,0,TabPerceiver,0.6333903908729553
binary_classification,medium,1,TabPerceiver,0.9472680926322937
binary_classification,medium,2,TabPerceiver,0.6477101922035218
binary_classification,medium,3,TabPerceiver,0.9633210659027099
binary_classification,medium,4,TabPerceiver,0.709280002117157
binary_classification,medium,5,TabPerceiver,0.9958373427391052
binary_classification,medium,6,TabPerceiver,0.8678473472595215
binary_classification,medium,7,TabPerceiver,0.8890317440032959
binary_classification,medium,8,TabPerceiver,0.6952632308006287
binary_classification,large,0,TabPerceiver,0.831522524356842
regression,small,0,TabPerceiver,0.2772752344608307
regression,small,1,TabPerceiver,0.01953312512487173
regression,small,2,TabPerceiver,0.13233317732810973
regression,small,3,TabPerceiver,0.27207253575325013
regression,small,4,TabPerceiver,0.33644989132881165
regression,small,5,TabPerceiver,0.431274539232254
regression,small,6,TabPerceiver,0.3747026264667511
regression,small,7,TabPerceiver,0.37878220677375796
regression,small,8,TabPerceiver,0.8944145202636719
regression,small,9,TabPerceiver,0.014316021651029586
regression,small,10,TabPerceiver,0.8216444373130798
regression,small,11,TabPerceiver,0.8935423016548156
regression,small,12,TabPerceiver,0.45740763545036317
regression,medium,0,TabPerceiver,0.6742071747779846
regression,medium,1,TabPerceiver,0.014446691423654557
regression,medium,2,TabPerceiver,0.0965291440486908
regression,medium,3,TabPerceiver,0.14027311205863952
regression,medium,4,TabPerceiver,0.5545941829681397
regression,medium,5,TabPerceiver,0.9018813252449036
regression,large,0,TabPerceiver,0.9758670330047607
regression,large,1,TabPerceiver,0.9769549131393432
regression,large,2,TabPerceiver,0.7786490201950074
regression,large,3,TabPerceiver,0.9042699694633484
regression,large,4,TabPerceiver,0.7861108422279358
regression,large,5,TabPerceiver,0.8150978684425354
multiclass_classification,medium,0,TabPerceiver,0.85188889503479
multiclass_classification,medium,1,TabPerceiver,0.3562337040901184
multiclass_classification,medium,2,TabPerceiver,0.7205397725105286
